Date,Open,High,Low,Close,Adj Close,Volume
4/18/2007,1.35,1.39,1.33,1.34,0.842029,413736000
4/19/2007,1.35,1.35,1.26,1.27,0.798042,95804
4/20/2007,1.28,1.31,1.28,1.3,0.816894,70064
4/23/2007,1.31,1.31,1.26,1.27,0.798042,36099
4/24/2007,1.26,1.27,1.26,1.27,0.798042,14422
4/25/2007,1.26,1.3,1.26,1.27,0.798042,31684
4/26/2007,1.28,1.28,1.26,1.26,0.791758,14256
4/27/2007,1.3,1.38,1.29,1.35,0.848313,60608
4/30/2007,1.35,1.35,1.29,1.32,0.829461,22918
5/2/2007,1.32,1.37,1.31,1.33,0.835745,27523
5/3/2007,1.33,1.4,1.32,1.35,0.848313,34569
5/4/2007,1.37,1.42,1.36,1.4,0.879732,27358
5/7/2007,1.41,1.42,1.37,1.37,0.86088,8253
5/8/2007,1.36,1.37,1.33,1.33,0.835745,8560
5/9/2007,1.34,1.41,1.34,1.39,0.873448,25904
5/10/2007,1.4,1.4,1.37,1.38,0.867164,10289
5/11/2007,1.34,1.4,1.34,1.39,0.873448,11987000
5/14/2007,1.4,1.48,1.4,1.45,0.911151,29728
5/15/2007,1.46,1.49,1.42,1.43,0.898583,14363000
5/16/2007,1.46,1.6,1.45,1.6,1.005408,35663
5/17/2007,1.61,1.67,1.58,1.64,1.030543,43830
5/18/2007,1.63,1.68,1.61,1.65,1.036826,25460
5/21/2007,1.65,1.67,1.63,1.67,1.049394,17629
5/22/2007,1.67,1.76,1.64,1.75,1.099665,30996
5/23/2007,1.9,1.97,1.85,1.87,1.17507,77664
5/24/2007,1.85,1.85,1.73,1.75,1.099665,64287
5/25/2007,1.72,1.81,1.71,1.73,1.087097,32261
5/28/2007,1.75,1.76,1.72,1.75,1.099665,10873
5/29/2007,1.75,1.75,1.72,1.73,1.087097,4539
5/30/2007,1.72,1.72,1.64,1.72,1.080813,20988
6/1/2007,1.75,1.8,1.73,1.75,1.099665,38319
6/4/2007,1.79,1.83,1.77,1.81,1.137367,23398
6/5/2007,1.82,1.85,1.77,1.82,1.143651,10539
6/6/2007,1.83,1.87,1.83,1.86,1.168786,15777
6/7/2007,1.88,2.02,1.88,1.91,1.200205,45545000
6/8/2007,1.88,1.94,1.87,1.89,1.187638,23931
6/11/2007,1.95,2,1.93,1.99,1.250476,19793
6/12/2007,2,2.03,1.95,1.98,1.244192,15712
6/13/2007,1.96,1.98,1.95,1.96,1.231624,3397
6/14/2007,1.99,2,1.97,1.97,1.237908,10731
6/15/2007,1.99,2,1.96,1.97,1.237908,5232
6/18/2007,1.97,1.99,1.91,1.93,1.212773,9974
6/19/2007,1.94,1.98,1.92,1.98,1.244192,9751
6/20/2007,1.97,2.08,1.97,2.03,1.275611,18520
6/21/2007,2.03,2.06,1.99,2,1.25676,9800
6/22/2007,2.01,2.02,1.97,1.99,1.250476,12806
6/25/2007,1.99,1.99,1.94,1.95,1.22534,7121
6/26/2007,1.95,1.95,1.88,1.9,1.193922,13506
6/27/2007,1.89,1.95,1.88,1.91,1.200205,13298
6/28/2007,1.95,1.95,1.91,1.94,1.219057,7785
6/29/2007,1.93,1.94,1.92,1.92,1.206489,3450
7/2/2007,1.93,1.93,1.91,1.92,1.206489,2809
7/3/2007,1.93,2.01,1.93,1.98,1.244192,15778
7/4/2007,1.97,2.02,1.96,1.96,1.231624,8686
7/5/2007,1.97,2,1.97,2,1.25676,7336
7/6/2007,2,2.01,1.99,1.99,1.250476,5102
7/9/2007,1.99,2.07,1.99,2.05,1.288178,9957
7/10/2007,2.06,2.18,2.06,2.18,1.369868,22271
7/11/2007,2.16,2.17,2.08,2.1,1.319597,18164
7/12/2007,2.12,2.17,2.09,2.09,1.313314,11700
7/13/2007,2.15,2.23,2.13,2.2,1.382436,35884
7/16/2007,2.23,2.29,2.21,2.21,1.388719,20042
7/17/2007,2.22,2.24,2.19,2.23,1.401287,4738
7/18/2007,2.26,2.26,2.15,2.16,1.3573,8922
7/19/2007,2.17,2.2,2.15,2.18,1.369868,4081
7/20/2007,2.18,2.22,2.18,2.21,1.388719,9087
7/23/2007,2.19,2.23,2.17,2.17,1.363584,3877
7/24/2007,2.18,2.24,2.18,2.18,1.369868,14742
7/25/2007,2.15,2.18,2.11,2.15,1.351016,9663
7/26/2007,2.17,2.18,2.1,2.1,1.319597,6989000
7/27/2007,2.04,2.06,1.95,2.01,1.263043,19839
7/30/2007,1.97,2,1.94,1.99,1.250476,15090
7/31/2007,2.01,2.02,1.95,1.95,1.22534,7346000
8/1/2007,1.95,1.95,1.77,1.8,1.131083,18859
8/2/2007,1.86,1.88,1.79,1.84,1.156219,15718
8/3/2007,1.86,1.88,1.82,1.83,1.149935,12861
8/6/2007,1.76,1.8,1.72,1.75,1.099665,12011
8/7/2007,1.78,1.8,1.72,1.74,1.093381,8655
8/8/2007,1.75,1.85,1.75,1.81,1.137367,10959
8/10/2007,1.74,1.91,1.72,1.88,1.181354,18271
8/13/2007,1.9,1.96,1.88,1.92,1.206489,7809
8/14/2007,1.93,1.93,1.88,1.9,1.193922,4923
8/15/2007,1.87,1.88,1.75,1.8,1.131083,24142
8/16/2007,1.74,1.74,1.59,1.6,1.005408,17131
8/17/2007,1.59,1.65,1.36,1.51,0.948853,25928
8/20/2007,1.61,1.66,1.6,1.63,1.024259,16039
8/21/2007,1.65,1.75,1.56,1.58,0.99284,22690
8/22/2007,1.56,1.68,1.56,1.67,1.049394,19386
8/23/2007,1.75,1.82,1.71,1.79,1.1248,37405
8/24/2007,1.8,1.82,1.71,1.76,1.105948,17956
8/27/2007,1.8,1.84,1.8,1.82,1.143651,16378
8/28/2007,1.8,1.93,1.78,1.86,1.168786,16149000
8/29/2007,1.75,1.85,1.75,1.85,1.162502,17513
8/30/2007,1.91,1.94,1.85,1.87,1.17507,14283
8/31/2007,1.86,1.91,1.85,1.86,1.168786,12338
9/3/2007,1.89,1.89,1.85,1.88,1.181354,5118
9/4/2007,1.86,1.89,1.85,1.87,1.17507,2942
9/5/2007,1.88,1.93,1.87,1.9,1.193922,16545
9/6/2007,1.88,1.93,1.87,1.88,1.181354,9223
9/7/2007,1.9,1.91,1.88,1.88,1.181354,8260000
9/10/2007,1.83,1.89,1.83,1.87,1.17507,6340000
9/11/2007,1.87,1.9,1.85,1.85,1.162502,4042
9/12/2007,1.88,1.89,1.85,1.85,1.162502,3898
9/13/2007,1.86,1.88,1.81,1.82,1.143651,5374
9/14/2007,1.84,1.84,1.79,1.8,1.131083,9546
9/17/2007,1.8,1.8,1.75,1.75,1.099665,4649
9/18/2007,1.74,1.79,1.74,1.77,1.112232,7004
9/19/2007,1.82,1.83,1.79,1.81,1.137367,13422
9/20/2007,1.82,1.87,1.81,1.82,1.143651,27515
9/21/2007,1.82,1.82,1.77,1.81,1.137367,13076
9/24/2007,1.81,1.84,1.81,1.81,1.137367,10086
9/25/2007,1.83,1.91,1.82,1.87,1.17507,31066000
9/26/2007,1.9,2.07,1.88,2.04,1.281895,37283
9/27/2007,2.09,2.11,2.03,2.05,1.288178,25752
9/28/2007,2.11,2.28,2.08,2.23,1.401287,47190
10/1/2007,2.35,2.74,2.35,2.66,1.67149,54219
10/2/2007,2.73,2.86,2.53,2.55,1.602368,42327000
10/3/2007,2.56,2.62,2.46,2.47,1.552098,21107
10/4/2007,2.45,2.45,2.33,2.45,1.539531,36584
10/5/2007,2.48,2.51,2.4,2.43,1.526963,27821
10/8/2007,2.56,2.67,2.55,2.6,1.633787,50177
10/9/2007,2.64,2.69,2.63,2.66,1.67149,32864
10/10/2007,2.7,2.72,2.6,2.61,1.640071,19781
10/11/2007,2.61,2.7,2.61,2.69,1.690341,16513
10/12/2007,2.69,2.74,2.65,2.67,1.677774,24581
10/15/2007,2.71,2.72,2.64,2.64,1.658922,15333
10/16/2007,2.62,2.65,2.51,2.53,1.589801,18894
10/17/2007,2.53,2.68,2.43,2.68,1.684058,30127
10/18/2007,2.71,2.87,2.69,2.74,1.72176,55799
10/19/2007,2.73,2.77,2.66,2.7,1.696625,9983
10/22/2007,2.5,2.66,2.49,2.58,1.62122,26545
10/23/2007,2.63,2.65,2.61,2.64,1.658922,38653
10/24/2007,2.66,2.71,2.58,2.58,1.62122,25492
10/25/2007,2.65,2.67,2.59,2.66,1.67149,15272
10/26/2007,2.67,2.72,2.64,2.66,1.67149,23765
10/29/2007,2.69,2.74,2.64,2.66,1.67149,25423
10/30/2007,2.6,2.63,2.5,2.57,1.614936,130827
10/31/2007,2.53,2.56,2.5,2.54,1.596084,29823000
11/1/2007,2.56,2.59,2.36,2.41,1.514395,65245
11/2/2007,2.35,2.42,2.32,2.37,1.48926,37832
11/5/2007,2.36,2.38,2.2,2.22,1.395003,27412
11/6/2007,2.24,2.32,2.24,2.29,1.43899,24772
11/7/2007,2.32,2.32,2.24,2.25,1.413855,17554
11/9/2007,2.21,2.23,2.17,2.18,1.369868,33596
11/12/2007,2.13,2.13,2.02,2.06,1.294462,31110
11/13/2007,2.11,2.22,2.11,2.21,1.388719,39743
11/14/2007,2.28,2.31,2.22,2.22,1.395003,37915
11/15/2007,2.2,2.23,2.16,2.18,1.369868,10443
11/16/2007,2.18,2.18,2.14,2.15,1.351016,14555
11/19/2007,2.17,2.17,2.05,2.06,1.294462,21662
11/20/2007,2,2.12,1.86,2.09,1.313314,42160
11/21/2007,2.06,2.08,1.95,1.95,1.22534,20709
11/22/2007,1.9,1.98,1.87,1.89,1.187638,44260
11/23/2007,1.92,1.96,1.87,1.96,1.231624,30517
11/26/2007,2.01,2.08,1.99,2.05,1.288178,34653000
11/27/2007,1.97,2.02,1.95,1.99,1.250476,16110
11/28/2007,2.02,2.03,1.9,1.9,1.193922,27669
11/29/2007,1.99,2,1.94,1.95,1.22534,25974
11/30/2007,1.98,2.01,1.96,1.98,1.244192,25816
12/3/2007,2.01,2.02,1.94,1.94,1.219057,21770
12/4/2007,1.97,2,1.94,1.98,1.244192,19705
12/5/2007,1.99,2.1,1.97,2.09,1.313314,43840000
12/6/2007,2.14,2.18,2.12,2.15,1.351016,38353000
12/7/2007,2.18,2.19,2.09,2.1,1.319597,19307000
12/10/2007,2.12,2.12,2.02,2.04,1.281895,12905000
12/11/2007,2.07,2.11,2.06,2.1,1.319597,12654000
12/12/2007,2.04,2.07,2.03,2.06,1.294462,23831000
12/13/2007,2.05,2.06,1.94,1.95,1.22534,24242000
12/14/2007,1.96,1.99,1.92,1.93,1.212773,19037000
12/17/2007,1.92,1.92,1.88,1.9,1.193922,13804000
12/18/2007,1.87,1.92,1.86,1.91,1.200205,14893000
12/19/2007,1.91,1.92,1.85,1.85,1.162502,16439000
12/21/2007,1.86,1.96,1.85,1.93,1.212773,33046000
12/24/2007,1.97,2,1.95,1.96,1.231624,23550000
12/26/2007,1.98,2.05,1.98,2.05,1.288178,33773000
12/27/2007,2.04,2.05,1.99,2.01,1.263043,16072000
12/28/2007,1.98,2.01,1.97,1.99,1.250476,11402000
12/31/2007,1.99,2.01,1.98,2,1.25676,9535000
1/2/2008,1.99,2.02,1.94,1.96,1.231624,19554000
1/3/2008,1.92,1.96,1.89,1.89,1.187638,39813000
1/4/2008,1.9,1.95,1.89,1.92,1.206489,36840000
1/7/2008,1.89,1.93,1.88,1.89,1.187638,24078000
1/8/2008,1.9,1.92,1.85,1.88,1.181354,23833000
1/9/2008,1.85,1.91,1.84,1.89,1.187638,35429000
